Timestep,BLTI,BRTI,C7,CHIN,CLAV,FBBT,FLTI,FRBT,FRTI,LAKI,LANK,LBAC,LBHD,LBWT,LELB,LELS,LELSO,LFBB,LFBT,LFFB,LFFT,LFHD,LFIN,LFLB,LFLT,LFMB,LFMT,LFPI,LFRM,LFWT,LHAP,LHBA,LHEB,LHEE,LHFR,LHME,LHPI,LHTH,LHTO,LKNE,LKNI,LMT5,LSCA,LSHN,LSHO,LTIA,LTIB,LTIC,LTOE,LTOP,LTOS,LUMB,LUMC,LWRA,LWRB,NOSE,RAKI,RANK,RBAC,RBHD,RBWT,RELB,RELS,RELSO,RFBB,RFBT,RFFB,RFFT,RFHD,RFIN,RFLB,RFLT,RFMB,RFMT,RFPI,RFRM,RFWT,RHAP,RHBA,RHEB,RHEE,RHFR,RHME,RHPI,RHTH,RHTO,RIBL,RIBR,RITL,RITR,RKNE,RKNI,RMT5,RSCA,RSHN,RSHO,RTIA,RTIB,RTIC,RTOE,RTOP,RTOS,RWRA,RWRB,THD
9,0.044969,0.00934025,0.0265851,0.0150226,0.0122724,0.0469761,0.0430379,0.00929632,0.00837042,0.0492955,0.0570863,0.00425287,0.0117546,0.00799118,0.0150151,0.00825021,0.00336278,0.0283577,0.0191347,0.032005,0.0173357,0.00762062,0.0183787,0.0300044,0.017566,0.0279995,0.0168033,0.0576889,0.00766199,0.00860568,0.00567881,0.00418595,0.0468212,0.0463527,0.00564305,0.0134645,0.00761842,0.0123233,0.00307696,0.0333467,0.0435845,0.0528257,0.0053283,0.0418354,0.0198458,0.0394163,0.0448325,0.0477022,0.0538935,0.0516726,0.05258,0.0136104,0.0190062,0.005374,0.0140048,0.0112891,0.0172141,0.00905237,0.00384458,0.0110853,0.0151498,0.0115285,0.00334605,0.00919094,0.00395568,0.00665069,0.00708997,0.00468824,0.0119206,0.0193826,0.00344627,0.00259599,0.00532561,0.00663264,0.0112273,0.00668939,0.00683717,0.00406637,0.00553908,0.0160497,0.0136326,0.00505799,0.00846713,0.0151982,0.0086328,0.00594039,0.00949428,0.005217,0.0107241,0.0128009,0.0141904,0.0066404,0.0104873,0.0134148,0.0096758,0.0157303,0.0076371,0.00854945,0.00921111,0.00970242,0.0156033,0.0124239,0.0111978,0.00910705,0.00591971
10,0.0545938,0.011224,0.0279594,0.015077,0.0127759,0.0600779,0.0484461,0.0116235,0.0102677,0.0699392,0.0773368,0.00406227,0.0124481,0.00896153,0.0104727,0.00458231,0.00513575,0.021025,0.0172592,0.0239743,0.0168588,0.00850795,0.0109576,0.0208867,0.0132974,0.0226507,0.0175589,0.0839696,0.004362,0.0081871,0.0023799,0.00158594,0.0729411,0.0700761,0.0013174,0.01401,0.00625053,0.00825409,0.00174108,0.0251116,0.0376023,0.0788972,0.00795268,0.0402042,0.0200203,0.0356709,0.052506,0.0633299,0.081207,0.0768209,0.0787488,0.0112942,0.0169193,0.0095141,0.0124454,0.0117182,0.018486,0.00966103,0.00463927,0.0108414,0.0146458,0.0119691,0.00565921,0.0119487,0.00414554,0.00613126,0.00945154,0.00628825,0.0108949,0.0219612,0.00497942,0.00513688,0.00641058,0.00606429,0.0143868,0.0106061,0.00514859,0.00694491,0.00804594,0.0195262,0.0166944,0.00853094,0.0129092,0.0201775,0.0113029,0.00898107,0.0101361,0.00323943,0.0104938,0.0134496,0.0149069,0.00781102,0.0139354,0.0131924,0.0109423,0.0150169,0.00931114,0.0103631,0.0118075,0.012091,0.0190603,0.0163713,0.015875,0.0115994,0.00510485
11,0.0617627,0.01432,0.030257,0.0165715,0.0151411,0.0692018,0.0486887,0.0153461,0.0132529,0.0884221,0.0952925,0.00723664,0.0150499,0.010948,0.00695615,0.00542938,0.0108559,0.0100133,0.0131622,0.0114178,0.0148939,0.0110146,0.00694775,0.00693496,0.00916927,0.0123457,0.0163653,0.107088,0.00802883,0.0100712,0.00365284,0.00648904,0.0983341,0.0933804,0.00460027,0.0194135,0.0138093,0.00942124,0.00720965,0.0134835,0.0252197,0.101979,0.0125802,0.0337218,0.0196726,0.0249677,0.0551658,0.0753753,0.105759,0.0990204,0.102372,0.00943748,0.015176,0.0165382,0.0141774,0.0133493,0.0211565,0.0130793,0.00744618,0.0124366,0.0151426,0.014213,0.00787448,0.0133385,0.00542464,0.00699126,0.0123481,0.0100898,0.0109243,0.0224543,0.00711651,0.00891462,0.00854548,0.00738744,0.0194048,0.012457,0.00795218,0.0102263,0.0102434,0.0241642,0.0213228,0.011409,0.014471,0.0217362,0.0123869,0.0116879,0.0122978,0.00408572,0.0115936,0.0150957,0.0163899,0.00979062,0.0188505,0.0137108,0.0135598,0.0153123,0.0118802,0.0133646,0.0158008,0.016883,0.0238788,0.0207711,0.0176599,0.0125114,0.00767335
12,0.0631715,0.0169521,0.0331676,0.0190581,0.01829,0.0696239,0.0446627,0.0188636,0.0151935,0.0942385,0.10075,0.0117045,0.0179527,0.0129402,0.00999211,0.0109896,0.0172738,0.0118502,0.0112194,0.0125836,0.0147876,0.0135663,0.0130081,0.0122107,0.0118225,0.00858377,0.0155221,0.113375,0.0148376,0.0125178,0.00851966,0.0127193,0.107756,0.102216,0.0103103,0.0253185,0.0220825,0.0144421,0.0132507,0.0169276,0.0164805,0.1083,0.0173843,0.0291901,0.019429,0.0154212,0.0521509,0.0772059,0.112647,0.105215,0.109066,0.00885309,0.0142977,0.0231229,0.0185277,0.0154751,0.0238767,0.0185861,0.0107683,0.0150445,0.0161814,0.0161825,0.0095698,0.0139932,0.00505029,0.00770301,0.012734,0.0122791,0.0122359,0.0218045,0.00684656,0.0107658,0.00881988,0.00840987,0.0252673,0.0131011,0.0111169,0.0129505,0.0121508,0.028697,0.0264542,0.0134435,0.014031,0.0213775,0.0121909,0.0137421,0.0153478,0.00557511,0.0137968,0.0168165,0.0161461,0.0103095,0.0242514,0.0156463,0.0155666,0.0160104,0.0124651,0.0154083,0.0196979,0.0229544,0.0288553,0.0249486,0.0176887,0.0121662,0.0102323
13,0.0510914,0.016717,0.0347102,0.0200306,0.0199688,0.0545648,0.0338101,0.0191719,0.0143624,0.076218,0.0823044,0.0154111,0.019542,0.0149131,0.0151329,0.015671,0.0227771,0.0156336,0.0125642,0.0160467,0.0160672,0.0141853,0.0208042,0.0171293,0.0148234,0.0110521,0.0162312,0.0907287,0.0208902,0.0145741,0.0122744,0.017887,0.0861315,0.0818894,0.0146938,0.0292227,0.0290982,0.0189446,0.0183326,0.0222693,0.0153359,0.0856205,0.0209675,0.0246773,0.0194306,0.0119682,0.0400585,0.0605434,0.0890585,0.083376,0.0857039,0.00979428,0.0146832,0.0282142,0.022859,0.0156816,0.0240764,0.0204741,0.012841,0.0164352,0.0169149,0.0176402,0.0100034,0.0129074,0.00400596,0.00777,0.0115131,0.0131015,0.0118009,0.0204377,0.00608998,0.0112986,0.00768261,0.00899239,0.027767,0.0122992,0.0127054,0.0137484,0.0125515,0.0298415,0.0277353,0.0136498,0.0117868,0.0193062,0.0107933,0.0136995,0.0185208,0.00520393,0.0153469,0.0168698,0.0148587,0.01,0.0263421,0.0167024,0.015179,0.0155959,0.0106703,0.0147395,0.0201288,0.025765,0.0307192,0.0259198,0.0157771,0.0103534,0.0103008
14,0.0266852,0.0128894,0.0345845,0.0188704,0.0195572,0.02604,0.0169696,0.0151872,0.0103665,0.0398231,0.0433573,0.0173757,0.0195963,0.0163432,0.018267,0.017995,0.0258212,0.0157036,0.0141701,0.016273,0.0174402,0.0132411,0.0267687,0.0176517,0.0163317,0.0120384,0.0174788,0.0439701,0.0244286,0.0159836,0.0139764,0.0205558,0.0393848,0.0376343,0.0167458,0.0312664,0.0335455,0.0220279,0.0208801,0.0239904,0.0159423,0.0394325,0.0225862,0.0169615,0.0200571,0.0128641,0.0197581,0.0281568,0.0416844,0.0378904,0.0380998,0.0107461,0.0151014,0.0312004,0.0255975,0.0144438,0.0205816,0.0175372,0.0138154,0.0163324,0.0172483,0.0189767,0.0102229,0.0118646,0.00413157,0.00827659,0.0102754,0.0137296,0.0101553,0.0195786,0.00680647,0.0125343,0.00634518,0.00964293,0.0247784,0.0118779,0.0139159,0.0136095,0.0124904,0.0263804,0.0240898,0.01329,0.0103165,0.0179826,0.00979276,0.0129857,0.0206157,0.0045041,0.0158035,0.0163911,0.0130644,0.00974854,0.0232599,0.0162347,0.0115154,0.0155833,0.00692212,0.0107938,0.016023,0.0232751,0.0275547,0.0225035,0.0144441,0.00897155,0.00998546
15,0.0159377,0.00819542,0.0352677,0.0170749,0.0183218,0.0183238,0.0169678,0.00947562,0.00461794,0.0259075,0.0147804,0.0185497,0.0191713,0.0168365,0.0191454,0.0189652,0.027272,0.0142379,0.0137561,0.0165719,0.0178793,0.0132869,0.029669,0.017537,0.0165264,0.0113713,0.0176019,0.0180306,0.0258448,0.0169118,0.0149708,0.0218902,0.0261973,0.0239577,0.0176778,0.0316995,0.0351866,0.0234215,0.0221182,0.0249797,0.015536,0.0234679,0.0236675,0.014097,0.0223204,0.0181276,0.01734,0.0194063,0.0269221,0.0217574,0.0239157,0.0105661,0.0141789,0.032516,0.0265971,0.0141379,0.0145879,0.0145267,0.0147743,0.0157474,0.0162064,0.020676,0.0101585,0.0110414,0.00649646,0.0101708,0.00938498,0.013921,0.00975932,0.0169367,0.0092606,0.0147502,0.00496065,0.0101371,0.0195402,0.0112883,0.0146885,0.013566,0.0124054,0.0211602,0.0190721,0.0129257,0.00940165,0.0164441,0.0075578,0.012522,0.0217016,0.00502342,0.0171557,0.0178326,0.0104141,0.00984156,0.0179119,0.0152148,0.00693576,0.0183347,0.00233053,0.00506829,0.0100945,0.0186472,0.0219837,0.0175868,0.0136743,0.00691244,0.0118262
16,0.0408324,0.00757935,0.0376285,0.017108,0.0182982,0.0479426,0.036167,0.00649058,0.00422455,0.0597342,0.0517589,0.0198603,0.0188826,0.0170453,0.0191659,0.0198284,0.0282679,0.0134035,0.0121769,0.0177882,0.018095,0.0151933,0.0296621,0.0181718,0.016311,0.0107319,0.0172751,0.0640943,0.0262412,0.0178885,0.0164459,0.0231379,0.0727417,0.0684252,0.0188271,0.0305131,0.0346761,0.0232997,0.0234321,0.0267984,0.0156953,0.0687888,0.0249861,0.0239398,0.0252216,0.0259758,0.0396934,0.0526181,0.0722038,0.0678691,0.0704988,0.0102601,0.0127878,0.0327536,0.0264661,0.0159829,0.00864403,0.0148487,0.0163957,0.0155227,0.0147868,0.0231259,0.0109423,0.011293,0.0100117,0.0126113,0.0114489,0.0149516,0.0118002,0.0132862,0.0134333,0.0181446,0.00588211,0.0111333,0.0141395,0.011138,0.0160444,0.0145211,0.0133268,0.0166607,0.0157233,0.0134323,0.00748168,0.0130869,0.00427276,0.0133047,0.0223014,0.00746636,0.0197137,0.0206376,0.0101349,0.012003,0.0122985,0.0154734,0.00697167,0.0217004,0.00618071,0.00426824,0.00664022,0.013784,0.0160014,0.0134192,0.0120332,0.00430178,0.0139841
17,0.058055,0.0116781,0.040552,0.0182499,0.0189871,0.0667904,0.0488986,0.00903722,0.00954925,0.0830909,0.0766512,0.0210735,0.0183784,0.0177563,0.018223,0.0200399,0.0283092,0.0128876,0.0113133,0.0178177,0.0186913,0.0175978,0.0278353,0.0177471,0.0157313,0.0104346,0.0177182,0.0917563,0.0254218,0.0192268,0.0178272,0.0238284,0.101716,0.0963313,0.0196745,0.0279604,0.0325216,0.0218047,0.0243712,0.0271074,0.015612,0.0962023,0.0259799,0.0319812,0.0280973,0.0308131,0.0541255,0.0735568,0.10015,0.0952707,0.0986561,0.0104835,0.0117999,0.0317807,0.0249126,0.018543,0.00452502,0.0171813,0.01818,0.0153193,0.0135121,0.0257674,0.0126197,0.0126543,0.0137563,0.015153,0.0158021,0.0171309,0.0146023,0.0127598,0.0181965,0.0219527,0.00885879,0.0129324,0.00968055,0.0125349,0.0176567,0.0159208,0.014881,0.015412,0.0156445,0.0146051,0.00617449,0.0110313,0.00359468,0.0147093,0.022698,0.0101082,0.0225532,0.0235863,0.0133184,0.0156943,0.0075256,0.0166428,0.0115304,0.0246431,0.0119366,0.00938517,0.00861596,0.00903194,0.0117312,0.0119848,0.011087,0.00407726,0.0158357
18,0.0598283,0.017289,0.0411986,0.0179521,0.0184,0.0681099,0.0492821,0.0136148,0.0154839,0.0855423,0.0794988,0.0208647,0.0180297,0.0180676,0.0164705,0.0191614,0.027033,0.0115186,0.0122607,0.0152005,0.0204082,0.0185679,0.0262049,0.0152668,0.0156018,0.00974015,0.0195954,0.09369,0.0237726,0.0205523,0.0177037,0.0230495,0.105175,0.0999755,0.0190255,0.0260879,0.0305116,0.0202876,0.02353,0.0238946,0.0130885,0.0983394,0.0257058,0.0316498,0.029773,0.0289006,0.0544492,0.0754404,0.102328,0.0973637,0.101466,0.0108152,0.0118898,0.0303975,0.022969,0.0193519,0.00607663,0.0202317,0.018628,0.0153724,0.0127567,0.0285903,0.0142026,0.0133538,0.0182934,0.0167022,0.0223968,0.0199642,0.0160248,0.0157927,0.0242229,0.0261442,0.0131245,0.0143601,0.00627978,0.0142725,0.0193456,0.0165711,0.015884,0.0174703,0.018257,0.0153062,0.00678849,0.00962978,0.00666736,0.0154752,0.0217941,0.0115854,0.0234805,0.024932,0.0200201,0.0219618,0.00433535,0.0164461,0.0173232,0.0264466,0.0186015,0.0151913,0.0129042,0.00372669,0.0102385,0.0132935,0.00937316,0.00602771,0.0173899
