Timestep,BLTI,BRTI,C7,CHIN,CLAV,FBBT,FLTI,FRBT,FRTI,LAKI,LANK,LBAC,LBHD,LBWT,LELB,LELS,LELSO,LFBB,LFBT,LFFB,LFFT,LFHD,LFIN,LFLB,LFLT,LFMB,LFMT,LFPI,LFRM,LFWT,LHAP,LHBA,LHEB,LHEE,LHFR,LHME,LHPI,LHTH,LHTO,LKNE,LKNI,LMT5,LSCA,LSHN,LSHO,LTIA,LTIB,LTIC,LTOE,LTOP,LTOS,LUMB,LUMC,LWRA,LWRB,NOSE,RAKI,RANK,RBAC,RBHD,RBWT,RELB,RELS,RELSO,RFBB,RFBT,RFFB,RFFT,RFHD,RFIN,RFLB,RFLT,RFMB,RFMT,RFPI,RFRM,RFWT,RHAP,RHBA,RHEB,RHEE,RHFR,RHME,RHPI,RHTH,RHTO,RIBL,RIBR,RITL,RITR,RKNE,RKNI,RMT5,RSCA,RSHN,RSHO,RTIA,RTIB,RTIC,RTOE,RTOP,RTOS,RWRA,RWRB,THD
43,0.0087354,0.0194433,0.0153281,0.0136243,0.0128349,0.0102261,0.00934765,0.0200596,0.0168159,0.0158155,0.013166,0.0178183,0.0227223,0.0164123,0.0197479,0.0206407,0.0219564,0.00844007,0.00776466,0.00908028,0.010763,0.0149761,0.0193574,0.00890814,0.00791486,0.00898464,0.0107774,0.00990021,0.0217245,0.0106732,0.00980966,0.0160292,0.0112818,0.012128,0.0169007,0.0317702,0.0178319,0.0252503,0.0205026,0.0166713,0.0126445,0.00994966,0.0165226,0.00973562,0.0370562,0.00880794,0.0100781,0.0103056,0.0111406,0.0113598,0.00643371,0.0246032,0.0302469,0.0255445,0.0286036,0.00942975,0.030919,0.0313436,0.0141725,0.0177182,0.0147829,0.0198332,0.0111062,0.00701534,0.0129,0.0199866,0.00602212,0.00795836,0.00741298,0.018964,0.00561398,0.00834099,0.0132149,0.0155645,0.0271938,0.0084879,0.0100835,0.0113709,0.0105771,0.0233738,0.023354,0.00937887,0.00781135,0.0102288,0.0114431,0.0101624,0.0248725,0.0137958,0.0168707,0.0149286,0.0154737,0.020606,0.0271394,0.0120182,0.0172067,0.0200135,0.012797,0.0167891,0.020878,0.0293273,0.024021,0.0274306,0.00529431,0.0108259,0.0143446
44,0.0109057,0.0212269,0.0161357,0.0117695,0.0112808,0.0121993,0.0109863,0.0219586,0.0187273,0.0166004,0.0127493,0.01615,0.0218172,0.0147389,0.0162896,0.0188162,0.0208196,0.00953741,0.00770443,0.0104662,0.0100325,0.0137436,0.0165346,0.0105377,0.00856626,0.00955323,0.0095528,0.0118846,0.020165,0.00945637,0.00825762,0.0138292,0.0150379,0.0151945,0.0154499,0.0323972,0.0185579,0.0237629,0.018798,0.0183189,0.0121002,0.0131148,0.0154404,0.0119159,0.0372768,0.0106164,0.0120847,0.0119323,0.0134454,0.014966,0.0107011,0.0230647,0.0286617,0.0262488,0.0270645,0.00757523,0.0322208,0.0323912,0.0128404,0.0171316,0.0137203,0.0188034,0.00994255,0.00677226,0.0142738,0.0203791,0.008242,0.00940302,0.00620903,0.0197951,0.00742493,0.00743346,0.0148816,0.0166078,0.0287236,0.00831933,0.00883092,0.0101451,0.00980307,0.0247356,0.0243128,0.00823492,0.00801726,0.0117688,0.0110876,0.00924497,0.0231933,0.0125339,0.0169297,0.0152996,0.0168663,0.0221846,0.02886,0.0124113,0.019304,0.0198677,0.0149255,0.0187961,0.0227289,0.0306038,0.0259753,0.0294237,0.00614712,0.0105804,0.0141413
45,0.0120017,0.0228577,0.0164738,0.0100572,0.0102679,0.0135082,0.0117044,0.0236758,0.0203532,0.017304,0.0135066,0.0149526,0.0223322,0.0132346,0.0122273,0.0163909,0.0189628,0.00908162,0.00642315,0.0102124,0.00832829,0.0142442,0.0142006,0.0103604,0.00772496,0.00876313,0.00748435,0.0139481,0.017978,0.00759111,0.0068354,0.0113028,0.017775,0.0175938,0.0137669,0.0321257,0.0195893,0.0218632,0.016929,0.0182891,0.0116087,0.0156324,0.0151413,0.012328,0.0377071,0.0109249,0.0130762,0.0132748,0.0156783,0.0176308,0.0136648,0.0215183,0.0270234,0.0265396,0.0246256,0.0072562,0.0335828,0.0338666,0.012239,0.0178719,0.0129979,0.0182392,0.00916256,0.00662779,0.0153137,0.0208718,0.00988504,0.0109812,0.00704389,0.0195919,0.00875382,0.00692534,0.0162128,0.0178004,0.0302789,0.00806396,0.00745094,0.00942562,0.00944373,0.0262246,0.0257064,0.00742335,0.00769694,0.0122624,0.0102235,0.00886678,0.0209789,0.0110673,0.0175952,0.0165262,0.0179981,0.023627,0.0304865,0.0131293,0.0209912,0.0209235,0.0165234,0.0204601,0.0244638,0.0320975,0.0277019,0.0310681,0.00621917,0.0102536,0.0163215
46,0.0101881,0.0223097,0.0171981,0.00837084,0.00958866,0.0115692,0.00966779,0.0231007,0.0199881,0.0155579,0.0119134,0.0136301,0.0230672,0.0115007,0.00943736,0.0142796,0.0170489,0.00731352,0.00481655,0.00807074,0.00601167,0.0153623,0.0130109,0.00847246,0.00604617,0.00663857,0.00524995,0.0123286,0.0159579,0.00598092,0.00531968,0.00927632,0.0164703,0.0160193,0.0119412,0.0302976,0.0195178,0.0198134,0.0152942,0.0164967,0.0102854,0.0139753,0.0149389,0.0104195,0.0380465,0.00888438,0.0110995,0.0113235,0.0139624,0.0160326,0.0124876,0.0204016,0.0257514,0.0257857,0.0219491,0.00839042,0.0326807,0.0326714,0.011429,0.018972,0.0127388,0.0171393,0.00811166,0.00575714,0.0152339,0.0205,0.0101651,0.0118579,0.00939164,0.0167751,0.00900692,0.00644977,0.0163221,0.0181767,0.0290828,0.00613788,0.00633249,0.00860408,0.00831128,0.0249909,0.0243032,0.0064018,0.00565166,0.0105622,0.00782525,0.00809652,0.018766,0.00902145,0.0185721,0.0183733,0.0180634,0.0235738,0.0294234,0.013683,0.0207426,0.0226935,0.0164589,0.0201304,0.0238129,0.0307655,0.0267945,0.0301755,0.00491385,0.0090786,0.0192883
47,0.0067182,0.0187115,0.0187123,0.0073479,0.00919045,0.00778225,0.00636643,0.019288,0.0167213,0.0126186,0.0102239,0.0115226,0.0226747,0.00966743,0.00760976,0.0111504,0.0136299,0.00534471,0.00375473,0.00543882,0.00427157,0.0154668,0.0109742,0.00600122,0.0041985,0.004673,0.00404019,0.0085552,0.0123992,0.00499182,0.00346819,0.00648418,0.0122738,0.0119036,0.008749,0.0246655,0.0171071,0.0153903,0.0122176,0.0140334,0.00906977,0.00952619,0.0135355,0.00732241,0.0369237,0.00590862,0.00751403,0.0075517,0.00964005,0.0114124,0.00887657,0.0196496,0.0248399,0.0225238,0.0166923,0.00972575,0.0291433,0.0276999,0.0103727,0.0195114,0.0125814,0.0165837,0.00811188,0.00603314,0.0133223,0.018777,0.00787834,0.0113027,0.0118932,0.012679,0.00721772,0.00568137,0.0144275,0.0171805,0.024085,0.00474821,0.00573153,0.00840684,0.00753471,0.0206757,0.0194249,0.00665081,0.00613717,0.00773825,0.00670412,0.00818512,0.0161795,0.00688718,0.0188468,0.0202045,0.0163749,0.0210898,0.0247444,0.0140526,0.0174241,0.02456,0.0136403,0.0168191,0.0199089,0.0257264,0.0223189,0.0261224,0.00498032,0.00958758,0.0211028
48,0.00454328,0.0139816,0.0197042,0.00799484,0.00948919,0.00524173,0.00418449,0.0143436,0.0122906,0.0106086,0.0101861,0.0103322,0.0224365,0.00823466,0.00891242,0.0087659,0.0102706,0.00430074,0.00376149,0.00386875,0.0039795,0.0162744,0.0128989,0.00447861,0.00355041,0.00395355,0.0041238,0.00651149,0.00932523,0.00552377,0.00339551,0.0048597,0.0096962,0.00950305,0.00605691,0.0178286,0.0154765,0.0119907,0.00952358,0.0121681,0.00807728,0.00655832,0.0125612,0.00523676,0.0359077,0.00391643,0.00505811,0.00505569,0.00654467,0.00830203,0.00745543,0.0197628,0.024769,0.0191296,0.0106111,0.0123369,0.0248455,0.0213646,0.010237,0.0202249,0.012171,0.0182043,0.00984621,0.00772339,0.0104492,0.0160966,0.00457263,0.00998741,0.0148922,0.00926705,0.00479996,0.00513575,0.0113997,0.015279,0.0179282,0.00634895,0.0065799,0.00977293,0.0084237,0.0157463,0.0134695,0.0088277,0.0102902,0.00563319,0.00913426,0.0101336,0.0144116,0.00613095,0.0195026,0.0223453,0.0139498,0.0172872,0.0189152,0.0138344,0.0128318,0.0270815,0.00952524,0.0123108,0.0149306,0.0193898,0.0168623,0.0213094,0.00757226,0.0120349,0.0231169
49,0.00344963,0.0105982,0.0207546,0.00901124,0.00948639,0.00376238,0.00305315,0.0107465,0.00899319,0.00916115,0.0109054,0.00901671,0.0214205,0.00703385,0.0114359,0.00686005,0.00776363,0.00401016,0.00413887,0.0037034,0.00446395,0.0164686,0.0203732,0.00409053,0.00383071,0.00410902,0.00458455,0.00606135,0.00955353,0.00633345,0.0052278,0.00387205,0.00793308,0.00812862,0.00451099,0.0164642,0.0198779,0.0139493,0.00599019,0.0109027,0.00731216,0.00465669,0.0108125,0.00420345,0.0342861,0.0031631,0.00367375,0.00359348,0.0042379,0.0062591,0.00714546,0.0197013,0.024582,0.0190165,0.00775379,0.0145,0.0217094,0.016777,0.0100087,0.0203916,0.0114376,0.0202198,0.0115179,0.00960207,0.00810227,0.0136324,0.00324588,0.00931377,0.0172146,0.00834936,0.00374544,0.00536898,0.00897047,0.0137202,0.0134917,0.00861059,0.00785534,0.0110679,0.00971438,0.0126522,0.00932471,0.0107899,0.0137245,0.00624067,0.0118496,0.012102,0.0126282,0.00648484,0.0196605,0.0238743,0.0120419,0.0143756,0.0145709,0.0130918,0.00927301,0.0289871,0.00621051,0.00889806,0.0113892,0.0146362,0.0129628,0.0179928,0.0102719,0.0143221,0.0242073
50,0.00264447,0.00769564,0.0222094,0.00802467,0.00752625,0.00267374,0.00228265,0.00749474,0.00614654,0.00835235,0.0118464,0.0083951,0.018126,0.00637088,0.01525,0.00633689,0.00873634,0.00362558,0.00416863,0.00386589,0.00469996,0.0136052,0.0292316,0.00387159,0.00392814,0.00418537,0.0046551,0.00634878,0.0135852,0.0063234,0.00826935,0.00578826,0.00611562,0.00681219,0.0063406,0.0222775,0.0276131,0.0195782,0.00179323,0.00991535,0.0071335,0.00302901,0.00790726,0.00334004,0.031378,0.00285658,0.00265591,0.00260232,0.00199616,0.00436061,0.00711373,0.0188294,0.0237324,0.022115,0.0125635,0.0135782,0.0187486,0.0131523,0.00894709,0.017888,0.00996469,0.0218076,0.0116428,0.00977176,0.00634136,0.0117443,0.0041821,0.00914912,0.016016,0.00850801,0.00415336,0.00609704,0.00720316,0.0127062,0.00973558,0.00926841,0.00867113,0.0108036,0.00985143,0.00985294,0.00563252,0.0109306,0.0145873,0.00612445,0.0125586,0.0124385,0.0103307,0.00677076,0.0181238,0.0235451,0.0106608,0.0124079,0.0104098,0.0102619,0.00617976,0.0290002,0.00342414,0.00591701,0.0081436,0.0103687,0.00927405,0.0147298,0.0108506,0.014575,0.0215748
51,0.00238807,0.00498903,0.0249609,0.00653426,0.00436598,0.00239375,0.00186703,0.00445852,0.003425,0.00861994,0.0129861,0.0102686,0.0135093,0.00670656,0.0197083,0.00811279,0.0124304,0.00262573,0.00372736,0.00353206,0.0043734,0.00753921,0.0352324,0.00328674,0.00372825,0.00356081,0.0040645,0.00780746,0.0174523,0.0053318,0.0121931,0.0103591,0.00356872,0.00437156,0.0101958,0.0263032,0.0324598,0.0235134,0.00631765,0.00876787,0.00832336,0.00301353,0.00724896,0.00267528,0.0276786,0.00263908,0.00229586,0.00258171,0.00247061,0.00273007,0.00792013,0.0173313,0.0224032,0.0237713,0.0173808,0.0102378,0.0162691,0.00946274,0.00775912,0.0132443,0.00813689,0.0225103,0.0101912,0.00796434,0.00539226,0.0104353,0.00543058,0.00858555,0.0114701,0.00940309,0.00569614,0.00714209,0.00546107,0.011696,0.00637305,0.00826752,0.00856573,0.0088069,0.00871892,0.00807256,0.00263359,0.00901915,0.0126625,0.00395874,0.0110318,0.0107442,0.00791946,0.00638406,0.0150325,0.0212042,0.0104856,0.0105943,0.00591648,0.0054372,0.00362401,0.0267725,0.00112441,0.00318588,0.00499005,0.00570642,0.00651575,0.0113191,0.00870818,0.0125481,0.0152612
52,0.00439875,0.00419305,0.0296291,0.0105642,0.00713966,0.0046348,0.00377401,0.00398046,0.00274052,0.0100257,0.0146689,0.0132587,0.0111377,0.00731807,0.0243479,0.0113391,0.016826,0.00287318,0.00371119,0.00397435,0.0039749,0.00513339,0.0403397,0.00389879,0.00415679,0.00326468,0.00321148,0.0103107,0.0212326,0.00415524,0.0169825,0.0155366,0.00265576,0.00290933,0.0150121,0.0298158,0.0360036,0.0275021,0.013004,0.00837757,0.010457,0.00580509,0.0108453,0.00444221,0.0243471,0.00412725,0.00444411,0.00482407,0.00600082,0.00468743,0.00958394,0.0152495,0.0205381,0.0252385,0.0221049,0.00936167,0.0157921,0.00651163,0.00733809,0.00859453,0.00669504,0.0226568,0.00848778,0.00578098,0.00555354,0.00974281,0.00662042,0.00768385,0.00609825,0.0121829,0.00758291,0.00821626,0.00362965,0.0106821,0.00529117,0.00747584,0.00742416,0.00611371,0.00740911,0.00929881,0.00488526,0.00632457,0.0113868,0.00119629,0.0102965,0.00804298,0.00586624,0.00518062,0.0127767,0.0184013,0.011858,0.00903826,0.00329093,0.00396205,0.00367545,0.0232538,0.00266347,0.00294096,0.00420566,0.00265039,0.00713165,0.00930246,0.00579812,0.0108737,0.00600328
53,0.00566952,0.00531537,0.0329714,0.0156336,0.0114809,0.00570558,0.00480307,0.00564884,0.0042127,0.0105414,0.0158457,0.0153111,0.01332,0.00803199,0.0270627,0.0133907,0.0194714,0.00393604,0.00411179,0.00443789,0.00344353,0.0109198,0.0433949,0.00475288,0.0047243,0.00328827,0.00233163,0.0109952,0.02339,0.0035847,0.0200604,0.0186328,0.0018169,0.00378422,0.0181683,0.0321735,0.0377031,0.0303788,0.0172407,0.00854194,0.0121767,0.00626632,0.014153,0.00596629,0.0226338,0.00517056,0.00559525,0.00580211,0.00686274,0.00528213,0.00919795,0.0134549,0.0189946,0.0262287,0.0250738,0.0132311,0.0168248,0.00478715,0.00771403,0.00939404,0.00626682,0.0223122,0.0072929,0.00415543,0.0063655,0.0098524,0.00744965,0.00692725,0.00817896,0.014954,0.00892875,0.00905634,0.00279103,0.010049,0.00615924,0.00716517,0.00580413,0.00423953,0.00660891,0.0117077,0.00778681,0.00420277,0.0122528,0.00221299,0.0111893,0.00593895,0.00537492,0.00433522,0.012778,0.01685,0.0136528,0.00866163,0.00437675,0.00742191,0.00538274,0.0205226,0.00469244,0.00466249,0.00568861,0.00385576,0.00946242,0.00893163,0.0039834,0.0107964,0.00433436
54,0.0056619,0.00567453,0.0337637,0.0180944,0.0134888,0.00545362,0.00466021,0.006337,0.00495863,0.0105729,0.0158787,0.0152645,0.0151222,0.00841857,0.0266481,0.0123757,0.0184073,0.00415906,0.00387892,0.00428116,0.00292665,0.0137487,0.0426059,0.00466505,0.00431034,0.00325353,0.00187323,0.010178,0.0221305,0.00281443,0.0199428,0.0181968,0.000534198,0.00451303,0.0180242,0.0308648,0.0358232,0.0298909,0.0176397,0.00891215,0.0128899,0.00521248,0.0147713,0.00613992,0.0215841,0.00514949,0.00542222,0.00550367,0.00629745,0.00439668,0.00775745,0.0129485,0.0187504,0.0242436,0.0244017,0.0154028,0.0173917,0.0052713,0.00742957,0.0112506,0.00691593,0.0211498,0.00617058,0.00274043,0.006705,0.00982975,0.00806649,0.00647552,0.0106902,0.0152657,0.00954213,0.00961722,0.00265284,0.00935176,0.00703831,0.0061955,0.0048535,0.00303463,0.00558858,0.0125509,0.00903016,0.00269569,0.012414,0.00270047,0.0112429,0.00443731,0.00615817,0.00455311,0.0124675,0.0157816,0.0146278,0.00902559,0.00524048,0.00918527,0.00609783,0.0187923,0.0057509,0.00549418,0.00627477,0.00571078,0.010303,0.00843047,0.00351815,0.0106985,0.0071421
55,0.00339327,0.00389649,0.034588,0.020359,0.0154676,0.00310695,0.00275318,0.00470465,0.00375843,0.0105587,0.013429,0.0149211,0.017039,0.00851073,0.0250972,0.0107294,0.01642,0.00311298,0.00297444,0.00294543,0.00244752,0.016263,0.0385874,0.00309293,0.00292537,0.00275551,0.00189152,0.0066087,0.0193547,0.00192408,0.0193726,0.0170287,0.00344229,0.00513758,0.0173469,0.0263552,0.0313892,0.0266531,0.0171293,0.00972344,0.0125383,0.00204145,0.015072,0.00402782,0.020809,0.00347149,0.00316274,0.00327305,0.00456536,0.000818802,0.00602399,0.0123084,0.0183606,0.0201792,0.0217299,0.017604,0.017101,0.00735033,0.00736926,0.0136274,0.00784762,0.0192994,0.00424515,0.000521025,0.00596596,0.0100168,0.00721516,0.00656429,0.0135009,0.0149613,0.00825962,0.0088183,0.0035142,0.00943778,0.00622263,0.00437574,0.00366429,0.00273133,0.00473586,0.0108635,0.00787262,0.00116639,0.011029,0.00358259,0.010164,0.00293698,0.00743211,0.00506523,0.0122268,0.014936,0.0142783,0.0106362,0.00376741,0.0113697,0.00462909,0.0169842,0.00504849,0.00427538,0.00453286,0.00684596,0.00836534,0.00599283,0.0027552,0.00940573,0.0104408
56,0.00276472,0.00216968,0.035947,0.0228092,0.0176003,0.00326121,0.00272459,0.00275488,0.00293561,0.0115044,0.0117555,0.0143779,0.0188989,0.00829899,0.0224754,0.00873885,0.0138044,0.00230447,0.00222802,0.00229832,0.0025321,0.0189086,0.0313644,0.00217925,0.00210804,0.00258055,0.00223473,0.00397095,0.0152207,0.0019008,0.0185775,0.0152686,0.00709135,0.00788618,0.0163978,0.0192232,0.0244671,0.0209701,0.0158869,0.0109917,0.011838,0.00274403,0.0152177,0.0020241,0.0205389,0.00245961,0.00273399,0.0037662,0.00523319,0.00356102,0.00561192,0.011207,0.0174454,0.0142814,0.0176894,0.0203677,0.017017,0.0105657,0.00802159,0.0165075,0.00875584,0.017828,0.00264602,0.00252644,0.0053629,0.0106741,0.00541395,0.00696029,0.0172325,0.0160565,0.00573734,0.00683553,0.00529018,0.0102985,0.00531795,0.00380902,0.00223199,0.00458918,0.00548377,0.0081944,0.00624871,0.00301839,0.00958527,0.00592182,0.00965102,0.00395495,0.00862973,0.00609221,0.0125247,0.0149477,0.0135346,0.0129096,0.00273903,0.0141927,0.0027873,0.0156886,0.00422891,0.00307468,0.0026273,0.00838871,0.00497381,0.00345264,0.00333466,0.00803824,0.014398
57,0.00312241,0.00370611,0.0359822,0.0235907,0.0181107,0.00405591,0.00343739,0.00380567,0.00452489,0.0123063,0.0105598,0.0124656,0.0187101,0.00786167,0.0179845,0.00582922,0.00983058,0.00272966,0.0027036,0.00289586,0.00294968,0.0192771,0.0211275,0.00295117,0.00262964,0.00292455,0.00293865,0.00331698,0.00927786,0.00211925,0.0161305,0.0115844,0.00863863,0.00884266,0.0139721,0.0136426,0.0151935,0.0141086,0.0124835,0.0119522,0.0118113,0.00417361,0.0133897,0.00213487,0.0208206,0.00302669,0.00348984,0.00453847,0.00606137,0.00514545,0.00648349,0.0103902,0.0166839,0.00804358,0.0139114,0.0215447,0.0168825,0.013654,0.00819478,0.0179563,0.00985946,0.0164417,0.00205412,0.00481019,0.0057356,0.0114469,0.00490533,0.0079311,0.0196969,0.0166615,0.00369677,0.0046786,0.00726618,0.0114535,0.00682079,0.00432686,0.00203213,0.00613954,0.00651815,0.00657142,0.00678825,0.00482708,0.00787546,0.00824898,0.00892881,0.00572413,0.00920484,0.00720003,0.0121903,0.0152784,0.0131983,0.0152615,0.00470026,0.0159384,0.00385127,0.015366,0.00527321,0.00438144,0.00384503,0.0103606,0.00335553,0.0030814,0.00527764,0.00706318,0.0162901
58,0.00182587,0.00440384,0.0345205,0.0219951,0.0166142,0.00276301,0.00249971,0.00436723,0.00523645,0.0123186,0.0087114,0.0090059,0.0159553,0.00715209,0.0129278,0.0045778,0.00716423,0.00317871,0.00396054,0.00246702,0.00334313,0.0164638,0.0132305,0.00257457,0.00260152,0.00345873,0.00418292,0.00224531,0.00553943,0.00171825,0.0121381,0.00649917,0.00803014,0.00694829,0.010444,0.0185061,0.00946673,0.0125789,0.00751155,0.0119418,0.0122985,0.00346167,0.0094399,0.00190792,0.0221569,0.00269085,0.00249195,0.00310043,0.00523798,0.00408519,0.00729143,0.0100384,0.0161967,0.0100001,0.0151525,0.0200372,0.0161659,0.0145371,0.0072668,0.016988,0.0110892,0.01432,0.00220662,0.00690168,0.00647033,0.0120006,0.00543654,0.0089213,0.0194027,0.0163741,0.00353325,0.0035237,0.00847469,0.0123614,0.00762729,0.00526806,0.00287293,0.00642389,0.00689288,0.0066595,0.0079404,0.0056979,0.00575473,0.0110923,0.00741317,0.00655109,0.00870086,0.0075939,0.0114875,0.0155765,0.013269,0.0164893,0.00519994,0.0165579,0.00472612,0.0156467,0.00622634,0.00508359,0.00438126,0.0106901,0.00423624,0.00260606,0.00792161,0.0067533,0.0146729
59,0.00280038,0.00336939,0.0313812,0.0177156,0.0129844,0.00265964,0.002607,0.00302217,0.00398602,0.0124136,0.00711934,0.00491048,0.0121068,0.00640648,0.00981406,0.00807191,0.00968522,0.00378957,0.00491369,0.0023018,0.00372824,0.0107832,0.012401,0.00197822,0.00221648,0.00431226,0.00522646,0.00273864,0.00945454,0.00154673,0.00718916,0.00267298,0.00863834,0.00614128,0.00782042,0.0270706,0.0126374,0.0169043,0.00456858,0.0115641,0.0126592,0.00419826,0.00423377,0.00280881,0.0254693,0.00280047,0.00248548,0.0027707,0.00514702,0.00452974,0.00897991,0.0108096,0.0166477,0.0168871,0.0203639,0.0152723,0.0151395,0.0132283,0.00525121,0.0133631,0.0119015,0.0129676,0.00228159,0.00756806,0.00658625,0.0120815,0.00472719,0.00899087,0.0151086,0.0149822,0.00329085,0.00313862,0.00838771,0.0124848,0.00654019,0.00558409,0.00417097,0.00510902,0.00605004,0.00748375,0.00816405,0.00498682,0.00520419,0.012904,0.00547373,0.00571632,0.00856,0.00728982,0.0111987,0.0154183,0.0129408,0.0160101,0.00373917,0.0152394,0.00390669,0.0162918,0.00553998,0.00386342,0.00305638,0.00875312,0.00509573,0.00343259,0.00963832,0.00690239,0.00912526
60,0.00350135,0.00297055,0.0283946,0.012986,0.00908559,0.00243873,0.00261622,0.00139105,0.0029817,0.0115339,0.00730475,0.00196748,0.00998349,0.0054991,0.00969943,0.0117087,0.0134706,0.00383889,0.00523799,0.00268686,0.00410979,0.00505128,0.0151428,0.00102465,0.00173504,0.0048887,0.0058132,0.00356403,0.0138026,0.00289134,0.00324896,0.00533924,0.00871929,0.00615683,0.00784858,0.0327764,0.0171686,0.0208398,0.00717277,0.0104008,0.0126641,0.0038636,0.00125049,0.00313515,0.0294199,0.00273593,0.00225377,0.00241343,0.00417428,0.00468124,0.00914969,0.0121649,0.0176456,0.0220809,0.0244561,0.00995383,0.014362,0.0120373,0.00291414,0.00986259,0.0121481,0.0125825,0.00233811,0.007315,0.00651652,0.0118246,0.00397741,0.00874605,0.00980149,0.0139461,0.00293602,0.00285212,0.00808754,0.0122411,0.00465506,0.00541567,0.00527142,0.00304352,0.004474,0.00670454,0.00670149,0.00359108,0.00634982,0.0140712,0.00416899,0.00400199,0.00904064,0.00650244,0.0126814,0.0158763,0.012244,0.0152624,0.00110675,0.0136709,0.00367479,0.0174913,0.00481417,0.00287385,0.0011646,0.00603137,0.00429653,0.00543406,0.0105965,0.00715422,0.00357834
61,0.00373161,0.0038608,0.0274439,0.0105739,0.0071851,0.00231606,0.00274585,0.00224329,0.00361418,0.0106648,0.00804565,0.0018961,0.00957993,0.00484765,0.00919507,0.0135108,0.0157791,0.00388162,0.00539095,0.00325169,0.00482373,0.00239612,0.0170683,0.0011737,0.00151498,0.00532718,0.00641274,0.00426599,0.0162768,0.00396526,0.00270664,0.00716915,0.00831422,0.0060493,0.00877081,0.0363301,0.0206476,0.023173,0.00900539,0.00957636,0.0125389,0.00344714,0.00328684,0.00339605,0.0317998,0.00293583,0.00226311,0.00215958,0.00338402,0.00449514,0.00900094,0.0124317,0.0176838,0.0254621,0.0268295,0.00771186,0.0143506,0.0121016,0.00211674,0.0088375,0.0118223,0.0122061,0.00297273,0.00775607,0.00661865,0.0118213,0.00401235,0.00894222,0.00776298,0.0137564,0.00293903,0.00289016,0.00820291,0.0124377,0.00427838,0.00630355,0.00624445,0.00239894,0.00410953,0.00508625,0.00458275,0.00357509,0.00933275,0.0162034,0.00495278,0.0035375,0.00896227,0.00642231,0.0143834,0.0167701,0.0117425,0.0150541,0.00152693,0.0132216,0.00442314,0.0184802,0.00488592,0.00350354,0.00188272,0.00536361,0.00314435,0.00680537,0.0125249,0.00835196,0.00357591
62,0.00453239,0.00372928,0.0271335,0.00911158,0.0060294,0.00318027,0.00354145,0.00226505,0.00328466,0.0108624,0.00821226,0.00237185,0.00941016,0.00439243,0.00774295,0.0135417,0.0159569,0.00430589,0.00566344,0.00340646,0.00525137,0.00233881,0.0154385,0.0018127,0.00158931,0.00566363,0.0068797,0.00506635,0.0160778,0.00459542,0.0032662,0.00728761,0.00859298,0.0060381,0.00891268,0.0351073,0.0204486,0.0220458,0.009132,0.00963036,0.0122199,0.00417599,0.00409276,0.00412433,0.0328063,0.00343664,0.00312619,0.00300409,0.00376949,0.00481517,0.00982282,0.0123974,0.0174947,0.0255055,0.0258898,0.00685431,0.0142291,0.0118454,0.00147488,0.00797309,0.0111212,0.0125217,0.00322616,0.00784773,0.00586059,0.0113,0.00341097,0.00874968,0.00647811,0.0139004,0.00206106,0.00246163,0.00753038,0.0122291,0.00472804,0.00710208,0.00697358,0.00215681,0.00368914,0.0048827,0.00377541,0.00371229,0.0125643,0.0182422,0.00675202,0.00323021,0.00865708,0.00650578,0.0154852,0.0175322,0.0109583,0.0140854,0.00222681,0.0121828,0.00392901,0.0193459,0.0040067,0.00313115,0.00206115,0.00527677,0.00326546,0.0075604,0.0144435,0.00959433,0.00461278
63,0.00432576,0.00350926,0.0264882,0.00778401,0.00501729,0.00284688,0.00320589,0.00204289,0.00291694,0.0107558,0.00863879,0.0032293,0.0102866,0.00434651,0.00530474,0.0124746,0.0150355,0.00406858,0.00552217,0.00274608,0.00523407,0.00444055,0.0120939,0.00173155,0.00182172,0.00519808,0.00693759,0.00538551,0.0145692,0.00506112,0.00415479,0.00654168,0.0079422,0.00532291,0.0090378,0.0321726,0.0194329,0.0194798,0.00866563,0.00972627,0.0114279,0.00337866,0.00479153,0.00386397,0.033293,0.0028195,0.0027804,0.00266698,0.00312274,0.00409854,0.00911035,0.0122398,0.0172657,0.024564,0.0234118,0.00661243,0.01386,0.0121381,0.00173073,0.00726018,0.0105795,0.0136577,0.00295738,0.00752038,0.00547587,0.0111118,0.00309181,0.00861046,0.00451419,0.0137442,0.00180544,0.00266027,0.00710058,0.0121212,0.0052164,0.00738684,0.00783612,0.00261668,0.0034382,0.00468862,0.00439192,0.0038431,0.0139978,0.0189022,0.00767095,0.00343261,0.00889759,0.00727862,0.0160939,0.0179444,0.0105045,0.0134435,0.00226958,0.0101637,0.00364805,0.019993,0.00346704,0.00277917,0.00184183,0.00531783,0.00300512,0.00751976,0.0152759,0.0099846,0.00621872
