Timestep,,BLTI,BRTI,C7,CHIN,CLAV,FBBT,FLTI,FRBT,FRTI,LAKI,LANK,LBAC,LBHD,LBWT,LELB,LELS,LELSO,LFBB,LFFB,LFFT,LFHD,LFIN,LFLB,LFLT,LFMT,LFPI,LFRM,LFWT,LHAP,LHEB,LHEE,LHFR,LHPI,LHTH,LHTO,LKNE,LKNI,LMT5,LSHN,LSHO,LTIA,LTIB,LTIC,LTOE,LTOP,LTOS,LUMB,LUMC,LWRA,LWRB,NOSE,RAKI,RANK,RBWT,RFBT,RFFB,RFFT,RFHD,RFIN,RFLB,RFLT,RFMB,RFMT,RFPI,RFRM,RFWT,RHBA,RHEB,RHEE,RHFR,RHME,RHPI,RHTH,RHTO,RIBL,RIBR,RITL,RITR,RKNE,RKNI,RMT5,RSHN,RSHO,RTIA,RTIB,RTIC,RTOE,RTOP,RTOS,RWRA,RWRB,THD,LHME,RHAP
61,0,0.120459,0.0181308,0.0486376,0.0243347,0.030189,0.116086,0,0.00426913,0,0,0.115889,0.0367067,0.0548173,0.0918732,0.00466648,0.00848981,0.00818737,0,0.0723191,0.0393436,0.0321764,0,0.0845968,0.0338355,0.0448159,0.0976923,0,0,0.0236698,0.145603,0,0,0.0484925,0.041684,0.0185331,0.140333,0.107688,0.146641,0.0993522,0.107047,0.0960906,0.105384,0,0,0.110676,0.17971,0.0233104,0.0326118,0.0380457,0.0465913,0.0202934,0.0551672,0,0.0709421,0,0.0216747,0.0227908,0.112842,0.262107,0,0.0321909,0.0239081,0.0072164,0.0778415,0.0833874,0.0213221,0.121279,0,0,0.119808,0.121183,0.109019,0,0.11201,0.0255317,0.0281291,0,0.0327662,0.0865336,0.0660639,0.0177,0.0196425,0.0682824,0,0.0127853,0.00633515,0.124122,0.0504409,0.0612749,0.108328,0.158209,0.0435292,0.0675108,0.0673127
62,0,0.118075,0.0277271,0.0597548,0.0176153,0.0370198,0.120094,0,0.0216876,0,0,0.127791,0.0496938,0.0546947,0.0925682,0.0305277,0.0285471,0.0400358,0,0.0516098,0.0365065,0.0260368,0,0.0768281,0.0331668,0.0421358,0.118,0,0,0.0328554,0.163927,0,0,0.0173855,0.0134054,0.0405302,0.119868,0.0851947,0.163644,0.0843808,0.114122,0.0740429,0.102192,0,0,0.129195,0.191758,0.0287122,0.0261753,0.029349,0.032992,0.01523,0.0493864,0,0.0733973,0,0.030749,0.0339035,0.110242,0.246897,0,0.0403865,0.0450787,0.0128236,0.0747189,0.0720791,0.0266628,0.117803,0,0,0.119775,0.124501,0.118276,0,0.11196,0.0344932,0.0328437,0,0.0506614,0.106359,0.0522796,0.0108165,0.0290081,0.0784875,0,0.0188869,0.0203807,0.133925,0.0528565,0.0631823,0.120124,0.142502,0.0430256,0.0216151,0.0726455
63,0,0.0941055,0.0521017,0.0730525,0.0330582,0.0509163,0.0974429,0,0.0494926,0,0,0.109464,0.0682606,0.053,0.0999972,0.069179,0.0624289,0.0789402,0,0.0178149,0.029659,0.0319626,0,0.0752749,0.0281051,0.0379151,0.102554,0,0,0.0525635,0.149938,0,0,0.0762543,0.0749599,0.0689169,0.0870363,0.0455092,0.151033,0.0542461,0.120123,0.0331841,0.0764331,0,0,0.113256,0.175281,0.0457491,0.0325127,0.0810509,0.0800632,0.0367328,0.0584753,0,0.0830109,0,0.054223,0.0536552,0.106585,0.218014,0,0.0576691,0.0731421,0.0370237,0.0827171,0.0521737,0.0421196,0.112064,0,0,0.115363,0.124728,0.13083,0,0.109045,0.0512273,0.0475007,0,0.0734308,0.134532,0.0393341,0.0321854,0.0522564,0.094876,0,0.0443498,0.0481397,0.145615,0.0690633,0.071195,0.135377,0.111659,0.0479816,0.076495,0.0815038
64,0,0.0643841,0.0786994,0.085276,0.0541014,0.0655914,0.0624264,0,0.0756198,0,0,0.0642411,0.0836285,0.0554808,0.111177,0.0984672,0.0883636,0.10862,0,0.0217706,0.0219989,0.0487547,0,0.0792721,0.0213964,0.0336892,0.0521975,0,0,0.0704139,0.0995261,0,0,0.129621,0.127611,0.0905499,0.0635787,0.0206178,0.106138,0.0522818,0.125323,0.0422787,0.0567796,0,0,0.0621408,0.132106,0.0621245,0.0460367,0.128042,0.126281,0.0603417,0.0818676,0,0.0956709,0,0.0800624,0.0711476,0.106722,0.18628,0,0.076908,0.0970595,0.056951,0.0904767,0.0437019,0.0577856,0.107821,0,0,0.106815,0.135874,0.151446,0,0.104453,0.0661511,0.0637932,0,0.0913695,0.161329,0.042525,0.0502634,0.0781476,0.109936,0,0.0709872,0.0745208,0.158337,0.0847592,0.082105,0.151993,0.0782546,0.0606032,0.138983,0.0898516
65,0,0.0702595,0.102644,0.0843069,0.0573438,0.0656775,0.0803907,0,0.0955294,0,0,0.0622076,0.0837901,0.0513877,0.116353,0.11388,0.10012,0.123536,0,0.0503205,0.0236407,0.050301,0,0.0792114,0.0259002,0.0259807,0.0909205,0,0,0.0749293,0.0676144,0,0,0.162151,0.158884,0.0990739,0.0701817,0.047365,0.07318,0.0850165,0.125229,0.089742,0.0909174,0,0,0.0918755,0.0976752,0.0636367,0.0482016,0.155358,0.153881,0.0641932,0.103149,0,0.100467,0,0.10391,0.0776398,0.1045,0.169334,0,0.0895622,0.107631,0.0621761,0.0860066,0.0417015,0.0597956,0.0946769,0,0,0.0859334,0.156979,0.16881,0,0.0875421,0.0663372,0.065561,0,0.0902551,0.180299,0.0647996,0.0604189,0.102054,0.109691,0,0.0939267,0.0944812,0.173464,0.0892634,0.0950876,0.157992,0.0616773,0.0605494,0.179151,0.0864636
66,0,0.0892227,0.122065,0.0678429,0.0411985,0.0486839,0.116775,0,0.110275,0,0,0,0.0683526,0.0373608,0.112219,0.122867,0.10442,0.130356,0,0.0627846,0.0368638,0.0325091,0,0.07455,0.0397193,0.026042,0.191154,0,0,0.0691394,0,0,0,0.176362,0.169921,0.10104,0.0853753,0.0570653,0,0.0973538,0.119917,0.109544,0.121226,0,0,0.165489,0,0.0495221,0.0387277,0.164488,0.164566,0.047565,0.114049,0,0.093669,0,0.125966,0.0764497,0.0966682,0.170284,0,0.0914068,0.105172,0.0562952,0.0728685,0.0345612,0.0450785,0.0653653,0,0,0.0491648,0.182598,0.180785,0,0.0539077,0.0541081,0.0486127,0,0.0683334,0.192588,0.0962209,0.0733707,0.122374,0.0908416,0,0.113992,0.108937,0.193064,0.0857672,0.112847,0.158684,0.069035,0.0415454,0.195697,0.0682618
67,0,0.0806651,0.130262,0.0463915,0.027539,0.0284545,0.11282,0,0.117052,0,0,0.118486,0.046427,0.033494,0.102842,0.121778,0.100768,0.126614,0,0.0586905,0.0419357,0.020143,0,0.0652563,0.0415517,0.0325682,0,0,0,0.0592992,0.117042,0,0,0.168226,0.151552,0.0973023,0.0897163,0.042514,0.103471,0.0804566,0.111912,0.0949444,0.112537,0,0,0,0.0907674,0.0310224,0.0328718,0.146574,0.148334,0.0340218,0.115969,0,0.0804119,0,0.132252,0.0707453,0.0902525,0.175582,0,0.0799925,0.10054,0.0459774,0.0639672,0.046698,0.0219935,0.0388828,0,0,0.0179411,0.195873,0.189522,0,0.0293938,0.040011,0.0221398,0,0.0393462,0.193694,0.114618,0.088637,0.130692,0.0643298,0,0.122909,0.115884,0.209671,0.0817386,0.127579,0.167081,0.0861493,0.0284508,0.175848,0.0447308
68,0,0.052373,0.108961,0.0231135,0.0424119,0.0252485,0.076818,0,0.0992644,0,0,0,0.0163483,0.0470429,0.0900278,0.0875074,0.0689262,0.0909239,0,0.0445138,0.0336302,0.0403536,0,0.0455916,0.0300016,0.0291185,0,0,0,0.0355918,0,0,0,0.12346,0,0.0690425,0.0807627,0.018596,0,0.0526655,0.093057,0.0639435,0.0780398,0,0,0.177918,0,0.0233612,0.0402328,0,0,0.0495775,0.0987213,0,0.0635316,0,0.09806,0.0493484,0.0854507,0.174025,0,0.0474245,0.103352,0.0232066,0.0396125,0.0669981,0.0171097,0.0493167,0,0,0.0491383,0.174286,0.187134,0,0.0539399,0.0265504,0.0134699,0,0.0290463,0.164185,0.0993629,0.0696491,0.106058,0.0380461,0,0.099945,0.100182,0.210985,0.062469,0.126747,0.177785,0.0972971,0.0514169,0,0.0238495
69,0,0.0328782,0.049368,0.0256259,0.0656984,0.0456685,0.0417464,0,0.0425428,0,0,0.0605985,0.026531,0.0705827,0.0766693,0.0151786,0.0173264,0.0139885,0,0.0300052,0.0290555,0.0645645,0.0115528,0.0728521,0.0328796,0.02396,0,0,0,0.034545,0.0407782,0,0,0,0.0144243,0.0277654,0.0635919,0.0245836,0.0396145,0.0334684,0.0671675,0.0371538,0.0439153,0,0,0.146474,0.0562925,0.0458304,0.0614445,0.00989216,0.0239011,0.0711731,0.0570193,0,0.0484109,0,0.0214173,0.0218977,0.0791655,0.167614,0,0.0186504,0.115529,0.0342145,0,0.076277,0.0489523,0.0765203,0,0,0.0843265,0,0.162614,0,0.0848925,0.0370995,0.0451085,0,0.0486348,0.0884333,0.0779299,0,0.0360507,0.0257627,0,0.0382598,0.0518569,0.192879,0,0.112898,0.174559,0.0997023,0.0796003,0.0339816,0.0351514
70,0,0.0323266,0,0.0606508,0.094875,0.0789568,0.0285043,0,0,0,0,0.0447331,0.0749067,0.107029,0.0815769,0.0984773,0.100148,0.0909664,0,0.0233152,0.0475879,0.0979827,0,0.155931,0.0544383,0.0413008,0,0,0,0.0989082,0.0425983,0,0,0,0,0.0959068,0.061965,0.0488119,0.0443784,0.0248383,0.0723902,0.0268966,0.0205844,0,0,0.111945,0.0788414,0.0837807,0.0968782,0,0,0.0958485,0.0973224,0,0.0603241,0,0,0.0825768,0.0789089,0.174832,0,0.0952084,0.123424,0.10149,0,0.0748134,0.0872348,0.0952377,0,0,0.107383,0,0,0,0.103413,0.0810272,0.0779231,0,0.0721394,0,0,0,0,0.0399857,0,0.0908811,0.0839279,0.193296,0.0709208,0.151873,0,0.106802,0.108767,0,0.0699639
71,0,0.077873,0.297945,0.092853,0.131166,0.115999,0.0767407,0,0.22378,0,0,0.0838451,0.11494,0.148424,0.110265,0.197739,0.187304,0.189257,0,0.0140747,0.0611265,0.143304,0,0.240858,0.0599306,0.063787,0,0,0,0.164056,0.108223,0,0,0,0.296031,0.177433,0.0929911,0.0783421,0.10777,0.0536954,0.115452,0.0555611,0.0618782,0,0,0.091056,0.140603,0.121625,0.136177,0.280165,0.332539,0.131762,0.222067,0,0.0948753,0,0.305474,0.17544,0.110719,0.213303,0,0.200651,0.115856,0.189512,0.345701,0.0925622,0.130512,0.107572,0,0,0.120121,0.176847,0.116263,0,0.111574,0.132411,0.107525,0,0.092995,0.247358,0.294297,0.321183,0.30002,0.0625936,0,0.202351,0.20861,0,0,0,0.133236,0.139489,0.143304,0.368146,0.100364
